"","port_code","start_date","end_date","port_eng","port_fr"
"1",800,198801,999912,"British Columbia and Yukon","Colombie-Britannique et Yukon"
"2",806,198801,201012,"Vancouver Marine Operations","Vancouver Opérations Marines"
"3",806,201101,999912,"Vancouver - Waterfront and Warehouse Operations","Vancouver - Waterfront and Warehouse Operations"
"4",808,198801,999912,"Prince Rupert","Prince Rupert"
"5",809,198801,999912,"Vancouver - Main Long Room","Vancouver - Salle des comptoirs principale"
"6",811,198801,999912,"Victoria","Victoria"
"7",813,198801,999912,"Pacific Highway","Pacific Highway"
"8",815,198801,999912,"Boundary Bay","Boundary Bay"
"9",817,198801,999912,"Abbotsford-Huntington","Abbotsford-Huntington"
"10",818,198801,999912,"Kingsgate","Kingsgate"
"11",819,198801,999912,"Osoyoos","Osoyoos"
"12",821,198801,999912,"Vancouver International Airport","Vancouver - Aéroport international"
"13",837,198801,999912,"Sidney - Victoria International Airport","Sidney - Aéroport international de Victoria"
"14",840,198801,999912,"Douglas","Douglas"
"15",841,198801,999912,"Aldergrove","Aldergrove"
"16",891,198801,999912,"Pleasant Camp","Pleasant Camp"
"17",893,198801,999912,"Fraser","Fraser"
